year,school,code,course,total_intake
2021,SCHOOL OF HEALTH & SOCIAL SCIENCES,C97,DIPLOMA IN NURSING,792
2021,SCHOOL OF INFORMATION TECHNOLOGY,C54,DIPLOMA IN CYBERSECURITY & DIGITAL FORENSICS,73
2021,SCHOOL OF ENGINEERING,C87,DIPLOMA IN ROBOTICS & MECHATRONICS,65
2021,SCHOOL OF INFORMATION TECHNOLOGY,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,56
2021,SCHOOL OF BUSINESS MANAGEMENT,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,48
2021,SCHOOL OF ENGINEERING,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,41
2021,SCHOOL OF HEALTH & SOCIAL SCIENCES,C72,DIPLOMA IN ORAL HEALTH THERAPY,24
2021,SCHOOL OF INFORMATION TECHNOLOGY,C85,DIPLOMA IN INFORMATION TECHNOLOGY,98
2021,SCHOOL OF BUSINESS MANAGEMENT,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,63
2021,SCHOOL OF ENGINEERING,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,38
2021,SCHOOL OF BUSINESS MANAGEMENT,C96,DIPLOMA IN BANKING AND FINANCE,63
2021,SCHOOL OF DESIGN & MEDIA,C32,DIPLOMA IN EXPERIENTIAL PRODUCT & INTERIOR DESIGN,104
2021,SCHOOL OF INFORMATION TECHNOLOGY,C35,DIPLOMA IN BUSINESS & FINANCIAL TECHNOLOGY,82
2021,SCHOOL OF BUSINESS MANAGEMENT,C34,COMMON BUSINESS PROGRAMME,238
2021,SCHOOL OF HEALTH & SOCIAL SCIENCES,C47,DIPLOMA IN SOCIAL WORK,47
2021,SCHOOL OF DESIGN,C63,DIPLOMA IN VISUAL COMMUNICATION,63
2021,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,65
2021,SCHOOL OF APPLIED SCIENCE,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,45
2021,SCHOOL OF APPLIED SCIENCE,C45,DIPLOMA IN APPLIED CHEMISTRY,46
2021,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C33,DIPLOMA IN ANIMATION & VISUAL EFFECTS,114
2021,SCHOOL OF APPLIED SCIENCE,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,108
2021,SCHOOL OF INFORMATION TECHNOLOGY,C36,COMMON ICT PROGRAMME,146
2021,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C59,DIPLOMA IN INTERACTION DESIGN,50
2021,SCHOOL OF ENGINEERING,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,39
2021,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,84
2021,SCHOOL OF ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,502
2021,SCHOOL OF ENGINEERING,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,42
2021,SCHOOL OF BUSINESS MANAGEMENT,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,58
2022,SCHOOL OF BUSINESS MANAGEMENT,C94,DIPLOMA IN BUSINESS MANAGEMENT,252
2022,SCHOOL OF ENGINEERING,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,41
2022,SCHOOL OF INFORMATION TECHNOLOGY,C80,DIPLOMA IN INFOCOMM & SECURITY,66
2022,SCHOOL OF APPLIED SCIENCE,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,109
2022,SCHOOL OF HEALTH & SOCIAL SCIENCES,C47,DIPLOMA IN SOCIAL WORK,48
2022,SCHOOL OF DESIGN & MEDIA,C32,DIPLOMA IN EXPERIENTIAL PRODUCT & INTERIOR DESIGN,101
2022,SCHOOL OF APPLIED SCIENCE,C65,DIPLOMA IN PHARMACEUTICAL SCIENCE,87
2022,SCHOOL OF DESIGN & MEDIA,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,65
2022,SCHOOL OF HEALTH & SOCIAL SCIENCES,C72,DIPLOMA IN ORAL HEALTH THERAPY,24
2022,SCHOOL OF DESIGN & MEDIA,C66,DIPLOMA IN MOTION GRAPHICS DESIGN,50
2022,SCHOOL OF INFORMATION TECHNOLOGY,C36,COMMON ICT PROGRAMME,153
2022,SCHOOL OF DESIGN & MEDIA,C33,DIPLOMA IN ANIMATION & VISUAL EFFECTS,109
2022,SCHOOL OF APPLIED SCIENCE,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,69
2022,SCHOOL OF BUSINESS MANAGEMENT,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,67
2022,SCHOOL OF ENGINEERING,C31,DIPLOMA IN AI & DATA ENGINEERING,39
2022,SCHOOL OF ENGINEERING,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,39
2022,SCHOOL OF ENGINEERING,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,42
2022,SCHOOL OF INFORMATION TECHNOLOGY,C85,DIPLOMA IN INFORMATION TECHNOLOGY,107
2022,SCHOOL OF BUSINESS MANAGEMENT,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,54
2022,SCHOOL OF BUSINESS MANAGEMENT,C34,COMMON BUSINESS PROGRAMME,252
2022,SCHOOL OF HEALTH & SOCIAL SCIENCES,C97,DIPLOMA IN NURSING,788
2022,SCHOOL OF ENGINEERING,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,42
2022,SCHOOL OF DESIGN & MEDIA,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,84
2022,SCHOOL OF ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,436
2022,SCHOOL OF ENGINEERING,C75,DIPLOMA IN INFOCOMM & MEDIA ENGINEERING,135
2022,SCHOOL OF APPLIED SCIENCE,C45,DIPLOMA IN APPLIED CHEMISTRY,46
2022,SCHOOL OF BUSINESS MANAGEMENT,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,66
2022,SCHOOL OF ENGINEERING,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,39
2022,SCHOOL OF INFORMATION TECHNOLOGY,C43,DIPLOMA IN APPLIED AI & ANALYTICS,57
2022,SCHOOL OF ENGINEERING,C89,DIPLOMA IN ELECTRONIC & COMPUTER ENGINEERING,85
2022,SCHOOL OF ENGINEERING,C87,DIPLOMA IN ROBOTICS & MECHATRONICS,63
2022,SCHOOL OF APPLIED SCIENCE,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,43
2022,SCHOOL OF DESIGN & MEDIA,C63,DIPLOMA IN VISUAL COMMUNICATION,68
2022,SCHOOL OF BUSINESS MANAGEMENT,C96,DIPLOMA IN BANKING & FINANCE,60
2022,SCHOOL OF BUSINESS MANAGEMENT,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,42
2022,SCHOOL OF BUSINESS MANAGEMENT,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,51
2022,SCHOOL OF INFORMATION TECHNOLOGY,C35,DIPLOMA IN BUSINESS & FINANCIAL TECHNOLOGY,86
2022,SCHOOL OF INFORMATION TECHNOLOGY,C54,DIPLOMA IN CYBERSECURITY & DIGITAL FORENSICS,76
2022,SCHOOL OF DESIGN & MEDIA,C38,DIPLOMA IN ARCHITECTURE,50
2022,SCHOOL OF DESIGN & MEDIA,C59,DIPLOMA IN INTERACTION DESIGN,50
2022,SCHOOL OF ENGINEERING,C62,DIPLOMA IN ADVANCED & DIGITAL MANUFACTURING,68
